"date","country","channel_id","device_type","exit_clicks","revenue_loc"
"2025-06-10","CZ","61","pc","1764","10408.44"
"2025-06-17","CZ","18","mobile","192","1487.1"
"2025-05-17","CZ","58","tablet","18","189.03"
"2025-05-17","CZ","10","tablet","3","17.48"
"2025-05-19","CZ","61","mobile","4159","23187.77"
"2025-05-19","CZ","61","pc","1865","11015.9"
"2025-05-19","CZ","22","tablet","79","608.77"
"2025-05-19","CZ","33","mobile","3725","19493.23"
"2025-05-19","CZ","28","mobile","1683","10206.57"
"2025-05-19","CZ","34","mobile","4134","27366.52"
"2025-05-19","CZ","6","mobile","11249","73732.69"
"2025-05-19","CZ","9","mobile","143","883.76"
"2025-05-19","CZ","25","pc","412","2569.8"
"2025-05-19","CZ","29","pc","1055","5582.12"
"2025-05-19","CZ","26","tablet","91","530.5"
"2025-05-19","CZ","10","pc","30","458.68"
"2025-05-19","CZ","16","pc","4","28.35"
"2025-05-19","CZ","64","pc","23","143.69"
"2025-05-19","CZ","58","pc","64","734.53"
"2025-05-19","CZ","69","tablet","2","13.71"
"2025-05-23","CZ","69","tablet","5","27.22"
"2025-05-22","CZ","64","mobile","3","16.05"
"2025-05-22","CZ","31","tablet","35","171.92"
"2025-05-22","CZ","44","tablet","1","9"
"2025-05-25","CZ","22","tablet","150","1210.95"
"2025-05-25","CZ","28","mobile","2236","13452.64"
"2025-05-25","CZ","43","pc","709","5092.51"
"2025-05-25","CZ","62","pc","692","4917.77"
"2025-05-25","CZ","6","pc","779","5570.92"
"2025-05-25","CZ","9","mobile","304","2251.04"
"2025-05-25","CZ","65","mobile","215","767.92"
"2025-05-25","CZ","12","mobile","84","604.39"
"2025-05-25","CZ","30","pc","332","2266.63"
"2025-05-25","CZ","33","tablet","134","724.96"
"2025-05-25","CZ","58","pc","502","4856.55"
"2025-05-25","CZ","31","tablet","118","810.79"
"2025-05-25","CZ","7","pc","16","137.31"
"2025-05-25","CZ","20","tablet","7","24.5"
"2025-05-15","CZ","6","mobile","10310","55170.04"
"2025-05-19","CZ","17","pc","7","44.69"
"2025-05-16","CZ","28","pc","1502","8292.95"
"2025-05-16","CZ","58","mobile","1814","14532.85"
"2025-05-16","CZ","62","pc","1151","7851.27"
"2025-05-16","CZ","66","mobile","241","1402.96"
"2025-05-16","CZ","61","pc","518","2915.73"
"2025-05-16","CZ","33","tablet","124","605.45"
"2025-05-16","CZ","33","pc","2137","10697"
"2025-05-16","CZ","34","pc","1784","10296.15"
"2025-05-16","CZ","25","tablet","38","299.21"
"2025-05-16","CZ","5","tablet","99","544.62"
"2025-05-16","CZ","13","mobile","58","376.19"
"2025-05-16","CZ","66","pc","80","428.91"
"2025-05-16","CZ","35","pc","20","145.87"
"2025-05-16","CZ","42","pc","17","221.97"
"2025-05-16","CZ","43","mobile","6","32.45"
"2025-05-18","CZ","18","pc","42","311.41"
"2025-05-18","CZ","22","mobile","32466","200521.96"
"2025-05-18","CZ","31","pc","5542","34634.88"
"2025-05-18","CZ","28","pc","1884","13632.65"
"2025-05-18","CZ","33","mobile","5052","26768.74"
"2025-05-18","CZ","32","mobile","233","1610.79"
"2025-05-18","CZ","25","mobile","208","1334.44"
"2025-05-18","CZ","25","pc","115","757.47"
"2025-05-18","CZ","35","mobile","244","1257.7"
"2025-05-18","CZ","7","pc","27","170.15"
"2025-05-18","CZ","39","tablet","18","80.73"
"2025-05-18","CZ","2","mobile","3","30.6"
"2025-05-18","CZ","12","pc","25","216.29"
"2025-05-18","CZ","45","mobile","13","152.2"
"2025-05-27","CZ","5","mobile","22246","141818.46"
"2025-05-27","CZ","28","tablet","72","383.32"
"2025-05-27","CZ","61","mobile","5140","29731.28"
"2025-05-27","CZ","26","mobile","2473","13382.59"
"2025-05-27","CZ","61","tablet","52","251.78"
"2025-05-27","CZ","25","pc","391","2056.72"
"2025-05-27","CZ","70","pc","38","229.51"
"2025-05-27","CZ","33","tablet","126","640.99"
"2025-05-27","CZ","18","tablet","17","105.66"
"2025-05-27","CZ","34","tablet","111","870.03"
"2025-05-27","CZ","11","pc","4","20.08"
"2025-05-27","CZ","67","tablet","12","84.63"
"2025-05-27","CZ","38","tablet","1","2.7"
"2025-05-28","CZ","9","mobile","274","1623.62"
"2025-05-28","CZ","28","pc","1496","7237.9"
"2025-05-28","CZ","27","pc","4956","26658.85"
"2025-05-28","CZ","23","mobile","2507","13337.86"
"2025-05-28","CZ","28","mobile","1437","7629.28"
"2025-05-28","CZ","12","mobile","196","1055.45"
"2025-05-28","CZ","18","pc","105","668.73"
"2025-05-28","CZ","42","mobile","6","84.38"
"2025-05-28","CZ","62","mobile","60","260.37"
"2025-05-28","CZ","35","pc","20","132.29"
"2025-05-28","CZ","16","pc","12","61.46"
"2025-05-28","CZ","23","tablet","4","26.74"
"2025-05-28","CZ","9","pc","2","13.05"
"2025-05-21","CZ","67","mobile","2236","14883.87"
"2025-05-21","CZ","27","mobile","5221","30346.2"
"2025-05-21","CZ","22","pc","4793","32321.56"
"2025-05-21","CZ","65","pc","74","394.71"
